product_id,forecast_date,predicted_revenue,model_name,created_at
1,2019-01-06,6255.24,Linear Regression,2026-06-10 11:45:39
1,2019-01-13,4742.26,Linear Regression,2026-06-10 11:45:39
1,2019-01-20,3874.68,Linear Regression,2026-06-10 11:45:39
1,2019-01-27,4117.44,Linear Regression,2026-06-10 11:45:39
1,2019-02-03,4652.26,Linear Regression,2026-06-10 11:45:39
1,2019-02-10,4970.54,Linear Regression,2026-06-10 11:45:39
1,2019-02-17,5211.84,Linear Regression,2026-06-10 11:45:39
1,2019-02-24,5374.52,Linear Regression,2026-06-10 11:45:39
1,2019-03-03,5786.23,Linear Regression,2026-06-10 11:45:39
1,2019-03-10,5973.05,Linear Regression,2026-06-10 11:45:39
1,2019-03-17,6160.54,Linear Regression,2026-06-10 11:45:39
1,2019-03-24,6306.9,Linear Regression,2026-06-10 11:45:39
1,2019-01-06,7049.43,Random Forest,2026-06-10 11:45:39
1,2019-01-13,4927.68,Random Forest,2026-06-10 11:45:39
1,2019-01-20,9091.81,Random Forest,2026-06-10 11:45:39
1,2019-01-27,8682.82,Random Forest,2026-06-10 11:45:39
1,2019-02-03,7836.76,Random Forest,2026-06-10 11:45:39
1,2019-02-10,6637.59,Random Forest,2026-06-10 11:45:39
1,2019-02-17,6830.72,Random Forest,2026-06-10 11:45:39
1,2019-02-24,7877.46,Random Forest,2026-06-10 11:45:39
1,2019-03-03,9192.53,Random Forest,2026-06-10 11:45:39
1,2019-03-10,10108.43,Random Forest,2026-06-10 11:45:39
1,2019-03-17,9886.31,Random Forest,2026-06-10 11:45:39
1,2019-03-24,9529.89,Random Forest,2026-06-10 11:45:39
1,2019-01-06,5976.3,XGBoost,2026-06-10 11:45:39
1,2019-01-13,4041.1,XGBoost,2026-06-10 11:45:39
1,2019-01-20,6983.67,XGBoost,2026-06-10 11:45:39
1,2019-01-27,4958.67,XGBoost,2026-06-10 11:45:39
1,2019-02-03,5745.39,XGBoost,2026-06-10 11:45:39
1,2019-02-10,3837.82,XGBoost,2026-06-10 11:45:39
1,2019-02-17,4256.4,XGBoost,2026-06-10 11:45:39
1,2019-02-24,4054.41,XGBoost,2026-06-10 11:45:39
1,2019-03-03,10879.98,XGBoost,2026-06-10 11:45:39
1,2019-03-10,10110.0,XGBoost,2026-06-10 11:45:39
1,2019-03-17,8287.3,XGBoost,2026-06-10 11:45:39
1,2019-03-24,7201.33,XGBoost,2026-06-10 11:45:39
1,2019-01-06,16151.2,ARIMA,2026-06-10 11:45:39
1,2019-01-13,16774.85,ARIMA,2026-06-10 11:45:39
1,2019-01-20,16893.44,ARIMA,2026-06-10 11:45:39
1,2019-01-27,16915.98,ARIMA,2026-06-10 11:45:39
1,2019-02-03,16920.27,ARIMA,2026-06-10 11:45:39
1,2019-02-10,16921.09,ARIMA,2026-06-10 11:45:39
1,2019-02-17,16921.24,ARIMA,2026-06-10 11:45:39
1,2019-02-24,16921.27,ARIMA,2026-06-10 11:45:39
1,2019-03-03,16921.28,ARIMA,2026-06-10 11:45:39
1,2019-03-10,16921.28,ARIMA,2026-06-10 11:45:39
1,2019-03-17,16921.28,ARIMA,2026-06-10 11:45:39
1,2019-03-24,16921.28,ARIMA,2026-06-10 11:45:39
1,2019-01-06,12192.5703125,LSTM,2026-06-10 11:45:39
1,2019-01-13,12022.5595703125,LSTM,2026-06-10 11:45:39
1,2019-01-20,11568.23046875,LSTM,2026-06-10 11:45:39
1,2019-01-27,11371.0400390625,LSTM,2026-06-10 11:45:39
1,2019-02-03,11234.400390625,LSTM,2026-06-10 11:45:39
1,2019-02-10,11125.400390625,LSTM,2026-06-10 11:45:39
1,2019-02-17,11058.8896484375,LSTM,2026-06-10 11:45:39
1,2019-02-24,11012.41015625,LSTM,2026-06-10 11:45:39
1,2019-03-03,10980.2001953125,LSTM,2026-06-10 11:45:39
1,2019-03-10,10958.740234375,LSTM,2026-06-10 11:45:39
1,2019-03-17,10944.01953125,LSTM,2026-06-10 11:45:39
1,2019-03-24,10934.0,LSTM,2026-06-10 11:45:39
